anime_id,mal_id,title,title_english,title_japanese,type,source,genres,tags
1,1,Cowboy Bebop,Cowboy Bebop,カウボーイビバップ,TV,ORIGINAL,"Action, Adventure, Comedy, Drama, Sci-Fi","Space, Episodic, Noir, Ensemble Cast, Primarily Adult Cast, Guns, Drugs, Amnesia, Martial Arts, Philosophy, Yakuza, Male Protagonist, Anti-Hero"
5,5,Cowboy Bebop: Tengoku no Tobira,Cowboy Bebop: Knockin' on Heaven's Door,カウボーイビバップ天国の扉,MOVIE,None,"Action, Drama, Mystery, Sci-Fi","Primarily Adult Cast, Terrorism, Space, Military, Work, Ensemble Cast, Male Protagonist"
6,6,Trigun,Trigun,トライガン,TV,MANGA,"Action, Comedy, Sci-Fi","Guns, Male Protagonist, Episodic, Fugitive, Primarily Adult Cast"
7,7,Witch Hunter Robin,Witch Hunter Robin,ウィッチハンター ロビン,TV,ORIGINAL,"Action, Drama, Mystery, Supernatural","Magic, Police, Conspiracy, Female Protagonist, Witch, Urban Fantasy, Primarily Adult Cast"
8,8,Bouken Ou Beet,Beet the Vandel Buster,冒険王ビィト,TV,MANGA,"Adventure, Fantasy, Supernatural",Shounen
15,15,Eyeshield 21,None,アイシールド21,TV,MANGA,"Action, Comedy, Sports","Shounen, American Football"
16,16,Hachimitsu to Clover,Honey and Clover,ハチミツとクローバー,TV,MANGA,"Comedy, Drama, Romance, Slice of Life","Josei, Coming of Age, Love Triangle, Primarily Adult Cast, College, Drawing, Cycling"
17,17,Hungry Heart: Wild Striker,None,ハングリーハート Wild Striker,TV,MANGA,"Comedy, Slice of Life, Sports","Shounen, Football"
18,18,Initial D Fourth Stage,None,頭文字〈イニシャル〉D FOURTH STAGE,TV,MANGA,"Sports, Action, Drama","Cars, Seinen, Primarily Adult Cast, Male Protagonist, Primarily Male Cast, CGI"
19,19,Monster,Monster,MONSTER,TV,MANGA,"Drama, Horror, Mystery, Psychological, Thriller","Seinen, Ensemble Cast, Noir, Primarily Adult Cast, Philosophy, Time Skip, Conspiracy, Foreign, Fugitive, Police, Male Protagonist"
20,20,Naruto,Naruto,ナルト,TV,MANGA,"Action, Comedy","Ninja, Shounen, Super Power, Cultivation, Primarily Child Cast, Male Protagonist, Love Triangle"
21,21,One Piece,One Piece,ワンピース,TV,MANGA,"Action, Adventure, Comedy, Drama, Fantasy","Ensemble Cast, Pirates, Super Power, Shounen, Ships, Politics, Male Protagonist, Animals, Swordplay, Time Skip, Lost Civilization, Anachronism, Skeleton, Body Swapping, Samurai, Zombie, War, Ninja"
22,22,Tennis no Oujisama,The Prince of Tennis,テニスの王子様,TV,MANGA,"Action, Comedy, Sports","Tennis, Shounen, School"
23,23,Ring ni Kakero 1,None,リングにかけろ１,TV,MANGA,"Action, Sports","Shounen, Boxing"
24,24,School Rumble,None,スクールランブル,TV,MANGA,"Comedy, Romance","Love Triangle, School, Shounen"
25,25,Sunabouzu,Desert Punk,砂ぼうず,TV,MANGA,"Action, Adventure, Comedy, Ecchi, Sci-Fi","Shounen, Post-Apocalyptic, Guns, Survival"
