title,id
Sword Art Online,4167
Shingeki no Kyojin,5840
Death Note,59
Fairy Tail,74
Mirai Nikki,1533
Elfen Lied,44
Angel Beats!,828
No Game No Life,6587
Another,2136
Tokyo Ghoul,8614
Ao no Exorcist,1884
Gakuen Mokushiroku: Highschool of the Dead,1178
One Piece,53
Code Geass: Hangyaku no Lelouch,222
Akame ga Kill!,8399
High School DxD,2357
Toradora!,61
Noragami,6356
Kaichou wa Maid-sama!,871
Guilty Crown,2085
Code Geass: Hangyaku no Lelouch R2,41
Deadman Wonderland,1883
Naruto Shippuuden,46
Hagane no Renkinjutsushi: Fullmetal Alchemist,353
Clannad,112
Bleach,198
Steins;Gate,1874
Sword Art Online II,7697
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,1905
K,4812
Btooom!,4821
Naruto,45
Date a Live,5825
Clannad After Story,219
Tokyo Ghoul √A,10160
Sakurasou no Pet na Kanojo,4704
Kiseijuu: Sei no Kakuritsu,9723
One Punch Man,11825
Soul Eater,648
Kore wa Zombie Desu ka?,1600
Boku wa Tomodachi ga Sukunai,2080
Boku dake ga Inai Machi,13633
High School DxD New,6056
KissXsis,123
Re:Zero kara Hajimeru Isekai Seikatsu,13975
Bakemonogatari,4
Shigatsu wa Kimi no Uso,9200
Zankyou no Terror,8455
Accel World,3247
Death Parade,10393
Hunter x Hunter (2011),2089
Charlotte,10703
Nanatsu no Taizai,9747
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,10595
Sankarea,3108
Black Bullet,7745
Hataraku Maou-sama!,5869
Chuunibyou demo Koi ga Shitai!,4855
Zero no Tsukaima,87
IS: Infinite Stratos,1556
Inu x Boku SS,2151
Kuroko no Basket,3318
Sora no Otoshimono,126
Avatar: The Last Airbender,874
Owari no Seraph,11065
Ichiban Ushiro no Daimaou,872
Log Horizon,6640
Zetsuen no Tempest: The Civilization Blaster,4819
Rosario to Vampire,64
Danganronpa Kibou no Gakuen to Zetsubou no Koukousei The Animation,6280
Tonari no Kaibutsu-kun,4892
Kuroshitsuji,806
Darker than Black: Kuro no Keiyakusha,71
Shokugeki no Souma,10242
Overlord,13164
Boku wa Tomodachi ga Sukunai Next,5186
Kimi ni Todoke,414
Higurashi no Naku Koro ni,325
Mahouka Koukou no Rettousei,8256
Dragon Ball Z,1331
Hidan no Aria,1881
Mondaiji-tachi ga Isekai kara Kuru Sou Desu yo?,5207
Psycho-Pass,4817
Fairy Tail (2014),8335
Boku no Hero Academia,15023
Blood Lad,4350
Ansatsu Kyoushitsu,9248
Suki tte Ii na yo.,4871
Yahari Ore no Seishun Love Comedy wa Machigatteiru.,5725
Vampire Knight,165
Durarara!!,159
Noragami Aragoto,11729
Kuroko no Basket 2nd Season,5506
Shakugan no Shana,85
Kyoukai no Kanata,6822
Gokukoku no Brynhildr,7619
Strike the Blood,6513
Date a Live II,7703
Hagane no Renkinjutsushi,48
Beelzebub,1578
Zero no Tsukaima: Futatsuki no Kishi,88
Katekyo Hitman Reborn!,779
Sora no Otoshimono: Forte,1455
Mayo Chiki!,1983
Kore wa Zombie Desu ka? Of the Dead,3245
Rosario to Vampire Capu 2,107
Black★Rock Shooter,2871
Ao Haru Ride,8606
Golden Time,6647
Ore no Imouto ga Konnani Kawaii Wake ga Nai,1459
"Dakara Boku wa, H ga Dekinai.",4045
Densetsu no Yuusha no Densetsu,1251
Hyouka,3242
School Days,590
Kimi ni Todoke 2,1567
C: The Money of Soul and Possibility Control,1893
Zero no Tsukaima: Princess no Rondo,89
Kamisama Hajimemashita,4868
Nisekoi,7057
Toaru Majutsu no Index,83
Fate/Zero,2087
Hentai Ouji to Warawanai Neko,5772
Gosick,1555
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",11646
Owari no Seraph: Nagoya Kessen-hen,13125
Hellsing,122
Kono Subarashii Sekai ni Shukufuku wo!,13017
Free!,6217
Rakudai Kishi no Cavalry,12806
Kami nomi zo Shiru Sekai,1468
Tengen Toppa Gurren Lagann,12
Fate/stay night,133
Dragon Ball,1330
Grisaia no Kajitsu,8862
Vampire Knight Guilty,166
Akatsuki no Yona,9651
B Gata H Kei,870
Zero no Tsukaima F,2363
Hagure Yuusha no Aesthetica,4177
Inuyasha,1031
Shiki,1179
11eyes,144
Magi: The Labyrinth of Magic,4918
To LOVE-Ru,91
Haikyuu!!,8338
Shingeki no Kyojin Season 2,9648
Pandora Hearts,132
Kaze no Stigma,81
Kokoro Connect,4208
Tasogare Otome x Amnesia,3288
Trinity Seven,9329
Ouran Koukou Host Club,535
Kill la Kill,6654
Ookami to Koushinryou,54
Baka to Test to Shoukanjuu,149
Meitantei Conan,342
Boku no Hero Academia 2nd Season,17175
High School DxD BorN,9219
Rainbow: Nisha Rokubou no Shichinin,880
Shakugan no Shana II,108
Machine-Doll wa Kizutsukanai,6583
MM!,1456
Koutetsujou no Kabaneri,15371
Chuunibyou demo Koi ga Shitai! Ren,7532
Digimon Adventure,233
D.Gray-man,754
Fate/Zero 2nd Season,3546
Sekai-ichi Hatsukoi,1850
Shin Seiki Evangelion,501
Ansatsu Kyoushitsu 2nd Season,14517
Kämpfer,136
Higurashi no Naku Koro ni Kai,58
Shokugeki no Souma: Ni no Sara,15468
Junjou Romantica,379
Yamada-kun to 7-nin no Majo,10469
Kuroshitsuji II,1261
Nisemonogatari,2152
Seitokai Yakuindomo,1262
Tokyo Ravens,5848
IS: Infinite Stratos 2,6378
C³,2095
"Yosuga no Sora: In Solitude, Where We Are Least Alone.",1462
Rokka no Yuusha,12291
Freezing,1595
Kuroko no Basket 3rd Season,9052
K-On!,383
Mahou Shoujo Madoka★Magica,1597
Hai to Gensou no Grimgar,14909
Campione!: Matsurowanu Kamigami to Kamigoroshi no Maou,4302
Kami nomi zo Shiru Sekai II,1896
Darker than Black: Ryuusei no Gemini,102
Bakuman.,1414
Lovely★Complex,849
"Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama Shiteiru",6632
Itazura na Kiss,365
Toaru Majutsu no Index II,1473
07-Ghost,692
Special A,652
Black Lagoon,67
Hellsing Ultimate,318
Amnesia,5211
Absolute Duo,10195
Toaru Kagaku no Railgun,701
Fate/stay night: Unlimited Blade Works,9053
Shinmai Maou no Testament,9918
